epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6733,1.79931,1.97546,1.60265,0.03636,0.31325,0.0248,0.00749,2.73618,3.74369,2.70159,0.0701288,0.00331903,0.00331903
2,90.3637,1.78948,1.86957,1.61079,0.05983,0.34538,0.04065,0.01429,2.45223,5.2908,2.44625,0.0399641,0.00648771,0.00648771
3,130.222,1.67417,1.71058,1.53443,0.39745,0.37751,0.30088,0.10474,2.14106,2.44541,1.9626,0.00963446,0.0094914,0.0094914
4,169.085,1.53366,1.57822,1.44941,0.32188,0.38153,0.22428,0.09219,1.95243,2.23809,1.71749,0.0092575,0.0092575,0.0092575
5,207.9,1.44564,1.48008,1.39956,0.57364,0.55823,0.48408,0.23167,1.82151,1.84388,1.5842,0.00901,0.00901,0.00901
6,248.021,1.37939,1.424,1.35229,0.42883,0.43373,0.37846,0.15742,1.96466,2.48541,1.77048,0.0087625,0.0087625,0.0087625
7,288.726,1.33736,1.3711,1.33787,0.5767,0.58233,0.55102,0.26771,1.61344,1.71234,1.47758,0.008515,0.008515,0.008515
8,329.807,1.29732,1.32436,1.32041,0.53199,0.53414,0.46483,0.23157,1.69813,1.87168,1.5191,0.0082675,0.0082675,0.0082675
9,370.378,1.2828,1.30379,1.30257,0.5208,0.59839,0.4828,0.23762,1.66156,1.75176,1.46028,0.00802,0.00802,0.00802
10,409.859,1.23784,1.28627,1.28904,0.6997,0.64257,0.61661,0.32541,1.68213,1.71115,1.49778,0.0077725,0.0077725,0.0077725
11,449.54,1.22821,1.23583,1.27766,0.69128,0.64257,0.63333,0.33065,1.63209,1.55676,1.46167,0.007525,0.007525,0.007525
12,488.8,1.19326,1.2122,1.26241,0.59422,0.55283,0.54114,0.29184,1.54771,1.59816,1.40433,0.0072775,0.0072775,0.0072775
13,528.349,1.17177,1.17658,1.25242,0.61114,0.65462,0.60188,0.35335,1.48863,1.54862,1.42614,0.00703,0.00703,0.00703
